IP,id,id2,counter,core_temp,ADC1,ADC2,ADC3,battery
fd00::212:4b00:615:aaee,171,0,205,23572,17456,0,1492,3225
fd00::212:4b00:615:aaee,171,0,206,23334,17452,0,1492,3224
fd00::212:4b00:615:aaee,171,0,207,23096,17452,0,1492,3222
fd00::212:4b00:615:aaee,171,0,208,23572,17456,0,1492,3225
fd00::212:4b00:615:aaee,171,0,209,23096,17456,0,1492,3223
fd00::212:4b00:615:aaee,171,0,210,23334,17460,0,1492,3225
fd00::212:4b00:615:aaee,171,0,211,23096,17456,0,1492,3224
fd00::212:4b00:615:aaee,171,0,212,23096,17456,0,1492,3222
fd00::212:4b00:615:aaee,171,0,213,23096,17456,0,1492,3222
fd00::212:4b00:615:aaee,171,0,214,23096,17452,0,1492,3224
fd00::212:4b00:615:aaee,171,0,215,23334,17456,0,1492,3225
fd00::212:4b00:615:aaee,171,0,216,23334,17460,0,1492,3225
fd00::212:4b00:615:aaee,171,0,217,23096,17456,0,1488,3222
fd00::212:4b00:615:aaee,171,0,218,23572,17452,0,1492,3224
fd00::212:4b00:615:aaee,171,0,219,23572,17456,0,1492,3223
fd00::212:4b00:615:aaee,171,0,220,23572,17460,0,1492,3223
fd00::212:4b00:615:aaee,171,0,221,23334,17456,0,1492,3222
fd00::212:4b00:615:aaee,171,0,222,23334,17452,0,1492,3221
fd00::212:4b00:615:aaee,171,0,223,23334,17452,0,1492,3222
fd00::212:4b00:615:aaee,171,0,224,23334,17452,0,1492,3221
fd00::212:4b00:615:aaee,171,0,225,23572,17456,0,1492,3222
fd00::212:4b00:615:aaee,171,0,226,23096,17460,0,1492,3221
fd00::212:4b00:615:aaee,171,0,227,23334,17456,0,1492,3221
fd00::212:4b00:615:aaee,171,0,228,23572,17452,0,1488,3222
fd00::212:4b00:615:aaee,171,0,229,23334,17456,0,1492,3222
fd00::212:4b00:615:aaee,171,0,230,23096,17452,0,1492,3220
fd00::212:4b00:615:aaee,171,0,231,23096,17460,0,1488,3220
fd00::212:4b00:615:aaee,171,0,232,23096,17460,0,1488,3220
fd00::212:4b00:615:aaee,171,0,233,23096,17456,0,1492,3219
fd00::212:4b00:615:aaee,171,0,234,23572,17460,0,1492,3222
fd00::212:4b00:615:aaee,171,0,235,23096,17456,0,1492,3220
fd00::212:4b00:615:aaee,171,0,236,23334,17456,0,1492,3220
fd00::212:4b00:615:aaee,171,0,237,23334,17452,0,1492,3219
fd00::212:4b00:615:aaee,171,0,238,23096,17448,0,1492,3218
fd00::212:4b00:615:aaee,171,0,239,23572,17452,0,1492,3220
fd00::212:4b00:615:aaee,171,0,240,23096,17456,0,1492,3219
fd00::212:4b00:615:aaee,171,0,241,23334,17460,0,1492,3220
fd00::212:4b00:615:aaee,171,0,242,23096,17460,0,1492,3218
fd00::212:4b00:615:aaee,171,0,243,23096,17456,0,1492,3219
fd00::212:4b00:615:aaee,171,0,244,23096,17456,0,1492,3217
fd00::212:4b00:615:aaee,171,0,245,23334,17456,0,1492,3219
fd00::212:4b00:615:aaee,171,0,246,23572,17460,0,1492,3219
fd00::212:4b00:615:aaee,171,0,247,23334,17460,0,1492,3219
fd00::212:4b00:615:aaee,171,0,248,23096,17460,0,1488,3217
fd00::212:4b00:615:aaee,171,0,249,23572,17456,0,1492,3219
fd00::212:4b00:615:aaee,171,0,250,23572,17456,0,1492,3218
fd00::212:4b00:615:aaee,171,0,251,23572,17460,0,1492,3216
fd00::212:4b00:615:aaee,171,0,252,23334,17456,0,1492,3217
fd00::212:4b00:615:aaee,171,0,253,23334,17452,0,1492,3215
fd00::212:4b00:615:aaee,171,0,254,23334,17456,0,1492,3217
fd00::212:4b00:615:aaee,171,0,255,23096,17456,0,1492,3215
fd00::212:4b00:615:aaee,171,0,256,23572,17460,0,1492,3217
fd00::212:4b00:615:aaee,171,0,257,23334,17460,0,1488,3215
fd00::212:4b00:615:aaee,171,0,258,23334,17460,0,1492,3215
fd00::212:4b00:615:aaee,171,0,259,23334,17456,0,1492,3215
fd00::212:4b00:615:aaee,171,0,260,23334,17456,0,1492,3215
fd00::212:4b00:615:aaee,171,0,261,23096,17456,0,1492,3212
fd00::212:4b00:615:aaee,171,0,262,23096,17464,0,1492,3213
fd00::212:4b00:615:aaee,171,0,263,23096,17464,0,1488,3213
